Abbrev,Geographic Area Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021
ALAM,"Alamance County, North Carolina",14,15,14,15,16,16,14,14,13,12,12
BRUN,"Brunswick County, North Carolina",16,16,16,18,18,16,20,16,18,14,14
BUNC,"Buncombe County, North Carolina",15,15,15,13,14,14,14,14,12,13,16
BURK,"Burke County, North Carolina",18,20,17,21,21,20,22,20,20,21,21
CABA,"Cabarrus County, North Carolina",10,10,9,10,10,12,10,10,11,10,11
CALD,"Caldwell County, North Carolina",16,19,19,21,17,20,20,18,18,20,19
CART,"Carteret County, North Carolina",16,18,17,20,19,21,21,18,19,16,16
CATA,"Catawba County, North Carolina",11,13,13,15,15,15,14,14,14,14,16
CHAT,"Chatham County, North Carolina",null,null,11,14,13,17,16,14,16,15,12
CLEV,"Cleveland County, North Carolina",16,17,16,15,19,17,16,16,14,17,17
CRAV,"Craven County, North Carolina",19,17,16,19,18,18,19,15,15,14,14
CUMB,"Cumberland County, North Carolina",15,12,14,15,15,19,18,17,17,17,15
DAVI,"Davidson County, North Carolina",16,15,16,19,17,16,17,16,15,15,17
DURH,"Durham County, North Carolina",11,10,9,10,11,10,11,11,9,9,10
FORS,"Forsyth County, North Carolina",10,10,11,12,11,10,10,9,11,12,13
FRAN,"Franklin County, North Carolina",null,null,null,null,null,null,null,14,16,14,16
GAST,"Gaston County, North Carolina",18,15,15,16,18,16,14,16,15,16,16
GUIL,"Guilford County, North Carolina",11,11,10,11,11,11,12,11,12,12,12
HARN,"Harnett County, North Carolina",13,14,13,14,14,12,14,13,14,13,16
HEND,"Henderson County, North Carolina",15,16,16,18,15,17,16,15,15,16,13
IRED,"Iredell County, North Carolina",12,13,12,12,14,13,15,12,13,11,13
JOHN,"Johnston County, North Carolina",12,11,13,12,15,14,13,16,14,13,13
LINC,"Lincoln County, North Carolina",17,13,13,15,18,17,15,12,13,14,17
MECK,"Mecklenburg County, North Carolina",8,9,8,9,10,9,8,8,8,8,8
MOOR,"Moore County, North Carolina",15,14,17,15,14,15,15,16,18,15,12
NASH,"Nash County, North Carolina",15,14,16,17,15,17,17,17,19,17,14
NEWH,"New Hanover County, North Carolina",11,14,12,13,12,12,13,12,13,12,13
ONSL,"Onslow County, North Carolina",14,13,13,14,17,20,17,17,16,17,19
ORAN,"Orange County, North Carolina",10,8,8,9,8,9,10,8,8,8,9
PITT,"Pitt County, North Carolina",10,12,12,14,12,12,12,13,16,16,14
RAND,"Randolph County, North Carolina",13,13,13,15,15,15,15,17,18,18,19
ROBE,"Robeson County, North Carolina",17,18,16,18,18,17,15,16,17,18,17
ROCK,"Rockingham County, North Carolina",18,18,17,19,16,17,14,16,16,16,19
ROWA,"Rowan County, North Carolina",16,17,16,16,14,16,17,16,16,15,16
RUTH,"Rutherford County, North Carolina",22,19,20,23,21,22,18,19,18,21,null
SURR,"Surry County, North Carolina",16,16,18,20,18,22,25,22,18,17,18
UNIO,"Union County, North Carolina",7,10,9,11,9,9,10,10,9,9,9
WAKE,"Wake County, North Carolina",8,7,7,8,8,9,9,8,8,9,10
WAYN,"Wayne County, North Carolina",15,14,18,16,19,16,17,17,16,16,15
WILK,"Wilkes County, North Carolina",19,17,17,22,18,17,16,20,21,19,18
WILS,"Wilson County, North Carolina",18,14,14,15,17,14,16,17,15,13,16
NC,North Carolina,13,13,13,14,14,14,14,13,13,13,14
