Abbrev,Geographic Area Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021
ALAM,"Alamance County, North Carolina",21.10,11.00,19.30,23.00,18.10,16.80,13.30,15.60,12.50,12.70,11.80
BRUN,"Brunswick County, North Carolina",20.20,23.10,11.00,21.40,22.00,11.50,9.30,8.80,8.10,6.70,5.40
BUNC,"Buncombe County, North Carolina",22.00,14.70,16.50,16.90,8.50,10.50,9.70,8.40,8.60,8.50,8.40
BURK,"Burke County, North Carolina",35.70,30.30,28.40,21.10,22.00,18.80,19.20,19.40,19.10,17.20,15.60
CABA,"Cabarrus County, North Carolina",24.00,22.10,24.40,17.90,10.90,11.50,12.20,12.50,9.70,9.30,10.90
CALD,"Caldwell County, North Carolina",21.90,34.90,13.80,27.50,17.00,20.10,21.50,22.00,19.10,21.00,17.30
CART,"Carteret County, North Carolina",14.90,10.10,18.30,20.50,16.70,9.80,10.30,8.90,9.70,9.70,8.20
CATA,"Catawba County, North Carolina",19.30,19.80,13.70,14.90,14.60,16.00,14.20,15.20,12.30,12.90,14.60
CHAT,"Chatham County, North Carolina",null,null,14.10,11.50,12.50,12.30,11.80,10.80,9.70,13.20,12.60
CLEV,"Cleveland County, North Carolina",13.90,21.40,13.50,17.40,17.40,16.90,16.80,14.40,15.40,14.10,13.70
CRAV,"Craven County, North Carolina",13.50,23.40,11.80,9.60,3.00,9.70,13.00,12.20,9.90,9.40,7.80
CUMB,"Cumberland County, North Carolina",12.40,12.20,13.10,9.80,11.70,9.10,9.70,9.70,9.00,9.10,6.40
DAVI,"Davidson County, North Carolina",22.70,20.50,26.00,22.60,16.30,17.20,17.40,16.60,16.20,14.30,13.30
DURH,"Durham County, North Carolina",15.50,17.20,17.30,15.90,9.30,13.30,12.30,12.30,10.20,10.70,9.30
FORS,"Forsyth County, North Carolina",21.00,20.50,18.20,13.90,14.50,11.90,11.30,11.00,12.30,12.00,10.40
FRAN,"Franklin County, North Carolina",null,null,null,null,null,null,null,13.80,12.90,11.50,13.20
GAST,"Gaston County, North Carolina",26.10,21.30,20.80,17.80,17.20,15.50,16.20,15.10,15.10,14.60,12.90
GUIL,"Guilford County, North Carolina",12.90,12.10,15.00,12.30,12.10,12.00,12.00,10.30,10.70,11.40,8.70
HARN,"Harnett County, North Carolina",11.70,10.80,14.60,21.80,10.10,14.10,13.70,13.00,12.90,11.10,12.00
HEND,"Henderson County, North Carolina",43.60,29.10,25.00,28.90,14.50,14.20,11.90,10.00,9.10,9.70,9.90
IRED,"Iredell County, North Carolina",18.70,22.90,19.10,20.50,15.70,13.50,12.80,9.80,11.30,10.10,8.90
JOHN,"Johnston County, North Carolina",20.30,17.40,15.10,29.60,18.50,16.00,14.90,14.40,12.60,13.10,11.00
LINC,"Lincoln County, North Carolina",32.60,20.50,15.60,14.90,13.50,18.00,12.20,12.90,11.00,7.90,13.10
MECK,"Mecklenburg County, North Carolina",17.50,17.60,17.90,14.80,12.90,10.80,9.80,9.50,10.50,10.00,9.20
MOOR,"Moore County, North Carolina",20.10,32.90,7.00,11.10,11.90,14.50,8.60,7.00,7.80,9.00,9.00
NASH,"Nash County, North Carolina",27.40,19.70,23.60,21.90,35.80,18.20,16.20,12.60,12.10,15.60,10.10
NEWH,"New Hanover County, North Carolina",12.00,10.60,7.30,9.10,8.30,6.70,7.90,8.00,6.50,7.20,6.40
ONSL,"Onslow County, North Carolina",6.50,6.00,11.60,12.70,10.90,7.10,9.10,6.60,8.30,7.80,7.20
ORAN,"Orange County, North Carolina",7.40,9.40,2.90,7.60,7.10,7.50,7.20,7.00,6.90,5.20,5.20
PITT,"Pitt County, North Carolina",8.10,9.20,9.60,8.70,6.00,9.50,8.80,7.90,11.30,10.60,8.70
RAND,"Randolph County, North Carolina",19.30,19.80,18.60,23.90,20.90,20.70,19.00,18.60,16.90,18.50,15.30
ROBE,"Robeson County, North Carolina",31.20,33.10,24.70,21.50,19.20,22.30,21.20,21.90,21.60,21.20,20.90
ROCK,"Rockingham County, North Carolina",28.50,18.40,25.70,21.50,21.70,16.90,20.10,17.80,18.80,17.30,16.30
ROWA,"Rowan County, North Carolina",17.80,19.70,18.20,15.50,19.10,16.80,13.80,15.50,14.80,13.40,10.70
RUTH,"Rutherford County, North Carolina",20.50,22.30,37.60,32.80,10.80,19.70,16.80,14.30,16.00,12.80,null
SURR,"Surry County, North Carolina",21.60,28.80,19.00,19.90,15.20,20.10,22.90,20.80,17.40,17.60,14.80
UNIO,"Union County, North Carolina",28.20,14.00,16.90,14.30,18.60,10.80,12.20,10.60,11.10,10.40,10.30
WAKE,"Wake County, North Carolina",14.70,13.60,12.60,12.90,12.80,8.30,7.20,8.30,6.80,6.90,6.50
WAYN,"Wayne County, North Carolina",17.10,20.00,18.90,10.30,24.80,14.70,16.90,14.30,16.00,14.20,14.70
WILK,"Wilkes County, North Carolina",18.30,19.20,29.10,8.70,13.80,21.10,17.70,21.70,20.50,15.80,19.30
WILS,"Wilson County, North Carolina",35.70,29.10,21.00,27.70,23.80,21.10,21.80,20.20,20.90,19.10,15.20
NC,North Carolina,18.30,17.00,16.80,15.90,13.80,13.50,12.90,12.40,11.90,11.50,10.40
