Abbrev,Geographic Area Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021
ALAM,"Alamance County, North Carolina",19229.00,15639.00,11706.00,16669.00,7081.00,21440.00,15832.00,19161.00,17235.00,24577.00,14931.00
BRUN,"Brunswick County, North Carolina",28351.00,17706.00,19675.00,17992.00,7999.00,33503.00,27740.00,16558.00,26502.00,7369.00,12167.00
BUNC,"Buncombe County, North Carolina",26023.00,16368.00,32551.00,21839.00,14010.00,17675.00,19001.00,14182.00,24986.00,15015.00,37952.00
BURK,"Burke County, North Carolina",-6038.00,7803.00,20769.00,8938.00,18960.00,12258.00,732.00,18801.00,6813.00,15990.00,null
CABA,"Cabarrus County, North Carolina",7224.00,18957.00,13676.00,1400.00,20270.00,18721.00,15524.00,8857.00,31487.00,34202.00,22382.00
CALD,"Caldwell County, North Carolina",11758.00,26754.00,6060.00,12529.00,null,10365.00,17308.00,8888.00,26870.00,19998.00,null
CART,"Carteret County, North Carolina",null,20410.00,27747.00,13208.00,18695.00,21659.00,19845.00,30689.00,10745.00,20516.00,null
CATA,"Catawba County, North Carolina",18973.00,15577.00,21580.00,20546.00,22995.00,21644.00,13880.00,26549.00,13198.00,22092.00,17923.00
CHAT,"Chatham County, North Carolina",24040.00,17469.00,29126.00,23240.00,38688.00,40017.00,47136.00,40250.00,30840.00,35898.00,null
CLEV,"Cleveland County, North Carolina",null,null,18702.00,17298.00,18766.00,19372.00,15222.00,14075.00,17868.00,14713.00,15375.00
CRAV,"Craven County, North Carolina",23592.00,13288.00,28402.00,23494.00,15851.00,33749.00,25786.00,37723.00,19004.00,10669.00,30678.00
CUMB,"Cumberland County, North Carolina",7954.00,15773.00,12240.00,12875.00,8121.00,15601.00,13695.00,11119.00,13839.00,12449.00,19235.00
DAVI,"Davidson County, North Carolina",19014.00,12766.00,10282.00,17105.00,12437.00,17923.00,26867.00,24111.00,15610.00,24284.00,19644.00
DURH,"Durham County, North Carolina",27268.00,23892.00,24458.00,22771.00,24396.00,25002.00,26549.00,32865.00,32359.00,30120.00,50244.00
