Abbrev,Geographic Area Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021
ALAM,"Alamance County, North Carolina",17444.00,15934.00,14711.00,20938.00,6597.00,13713.00,14292.00,4852.00,13853.00,18775.00,310.00
BRUN,"Brunswick County, North Carolina",16108.00,null,13477.00,19194.00,null,-4268.00,null,4540.00,null,null,6975.00
BUNC,"Buncombe County, North Carolina",13378.00,10398.00,5960.00,14936.00,null,24775.00,23726.00,12518.00,18431.00,23775.00,33236.00
BURK,"Burke County, North Carolina",14981.00,16535.00,18775.00,13548.00,19369.00,null,null,11935.00,12930.00,26276.00,null
CABA,"Cabarrus County, North Carolina",18449.00,8603.00,23227.00,22927.00,22150.00,22705.00,26343.00,15423.00,14479.00,11429.00,-16429.00
CALD,"Caldwell County, North Carolina",15607.00,null,-21347.00,3072.00,16320.00,13475.00,8185.00,29753.00,2960.00,-13861.00,-18367.00
CART,"Carteret County, North Carolina",18448.00,null,21175.00,24448.00,23396.00,3105.00,8674.00,28930.00,null,null,19473.00
CATA,"Catawba County, North Carolina",10129.00,-512.00,12114.00,22989.00,18533.00,18110.00,13629.00,20018.00,23210.00,5572.00,23735.00
CHAT,"Chatham County, North Carolina",21338.00,null,28948.00,35556.00,31506.00,32075.00,30740.00,38880.00,34056.00,34359.00,78287.00
CLEV,"Cleveland County, North Carolina",null,null,8797.00,-1844.00,18197.00,10803.00,-5233.00,-2274.00,null,3289.00,-6889.00
CRAV,"Craven County, North Carolina",17431.00,null,5528.00,16888.00,2213.00,31376.00,6518.00,19917.00,-20075.00,27841.00,-9691.00
CUMB,"Cumberland County, North Carolina",12821.00,12322.00,8940.00,6813.00,6994.00,18875.00,9085.00,10750.00,13508.00,8283.00,8887.00
DAVI,"Davidson County, North Carolina",22663.00,2531.00,14906.00,7089.00,12541.00,9778.00,15548.00,27320.00,12328.00,-1242.00,16632.00
DURH,"Durham County, North Carolina",19147.00,23483.00,25191.00,23172.00,25275.00,27859.00,20306.00,32069.00,30805.00,27821.00,43828.00
FORS,"Forsyth County, North Carolina",18884.00,21191.00,24367.00,27170.00,24698.00,21542.00,22604.00,21685.00,20613.00,26554.00,8647.00
FRAN,"Franklin County, North Carolina",null,null,null,null,null,null,null,38181.00,-7593.00,15656.00,-5355.00
GAST,"Gaston County, North Carolina",14436.00,18362.00,13220.00,16370.00,11001.00,17706.00,12716.00,12041.00,15234.00,14230.00,11519.00
GUIL,"Guilford County, North Carolina",18117.00,26320.00,22873.00,21289.00,22270.00,18026.00,21751.00,20484.00,24453.00,13192.00,27883.00
HARN,"Harnett County, North Carolina",15704.00,5656.00,15351.00,19608.00,8605.00,16519.00,12601.00,8607.00,14046.00,17338.00,-5573.00
HEND,"Henderson County, North Carolina",23480.00,20091.00,15705.00,11428.00,22163.00,null,26154.00,22151.00,17885.00,16747.00,23256.00
IRED,"Iredell County, North Carolina",14013.00,28689.00,26421.00,null,18596.00,12000.00,21994.00,24885.00,17367.00,19168.00,14347.00
JOHN,"Johnston County, North Carolina",16665.00,23935.00,26326.00,22024.00,28347.00,15841.00,14052.00,27381.00,23782.00,27312.00,17152.00
LINC,"Lincoln County, North Carolina",9552.00,13276.00,5859.00,6294.00,28945.00,22877.00,549.00,-2931.00,12356.00,30873.00,5039.00
MECK,"Mecklenburg County, North Carolina",24058.00,29362.00,30721.00,30162.00,33431.00,33649.00,33803.00,34225.00,35885.00,36258.00,37817.00
MOOR,"Moore County, North Carolina",18290.00,34549.00,28040.00,-2906.00,35247.00,9009.00,29886.00,18528.00,24481.00,19460.00,32342.00
NASH,"Nash County, North Carolina",21045.00,14159.00,27357.00,10014.00,15674.00,-9962.00,6121.00,19923.00,23421.00,-9042.00,-9296.00
NEWH,"New Hanover County, North Carolina",20793.00,20573.00,11010.00,23306.00,16932.00,28167.00,17184.00,21782.00,16447.00,17254.00,25950.00
ONSL,"Onslow County, North Carolina",3557.00,-4311.00,7801.00,11077.00,13594.00,10312.00,10660.00,5216.00,-8165.00,-2821.00,-281.00
ORAN,"Orange County, North Carolina",29386.00,39578.00,26941.00,17350.00,20152.00,26082.00,25507.00,12506.00,42498.00,24749.00,9921.00
PITT,"Pitt County, North Carolina",8882.00,26448.00,15870.00,29312.00,24678.00,21187.00,-4242.00,21611.00,27426.00,20890.00,17427.00
RAND,"Randolph County, North Carolina",11898.00,10102.00,7829.00,3989.00,15172.00,6345.00,13333.00,10441.00,1054.00,13408.00,15340.00
ROBE,"Robeson County, North Carolina",15014.00,15682.00,18424.00,1167.00,8458.00,4849.00,8523.00,11656.00,8513.00,18780.00,1164.00
ROCK,"Rockingham County, North Carolina",13871.00,9760.00,3909.00,24419.00,22505.00,null,-4260.00,25730.00,16157.00,8110.00,null
ROWA,"Rowan County, North Carolina",7476.00,17166.00,7988.00,12577.00,5795.00,4253.00,18735.00,11274.00,18849.00,23192.00,null
RUTH,"Rutherford County, North Carolina",null,null,-4555.00,16819.00,null,null,17013.00,null,-7854.00,null,26680.00
SURR,"Surry County, North Carolina",2588.00,2586.00,7808.00,4447.00,-2106.00,5770.00,3244.00,18020.00,12673.00,-2704.00,7158.00
UNIO,"Union County, North Carolina",18549.00,27569.00,22459.00,22206.00,26921.00,23512.00,26104.00,13488.00,24374.00,21631.00,29973.00
WAKE,"Wake County, North Carolina",33241.00,30365.00,32709.00,32811.00,37049.00,38773.00,39447.00,37932.00,37335.00,33827.00,39711.00
WAYN,"Wayne County, North Carolina",25448.00,2865.00,29895.00,22281.00,13278.00,28468.00,17652.00,20993.00,17007.00,16990.00,16279.00
WILK,"Wilkes County, North Carolina",null,11964.00,1532.00,15278.00,5122.00,10542.00,-17158.00,null,-1712.00,null,12795.00
WILS,"Wilson County, North Carolina",25139.00,13755.00,14653.00,20568.00,20227.00,15204.00,29561.00,17899.00,41366.00,null,1258.00
NC,North Carolina,16231.00,16395.00,16536.00,16495.00,19244.00,18338.00,16268.00,18379.00,18470.00,16954.00,15642.00
