County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALAMANCE,2.49,2.63,2.72,2.79,2.90,2.95,2.96,2.97,2.99,3.15,3.29
ALEXANDER,2.45,2.60,2.78,2.79,2.86,2.88,2.81,2.79,2.82,2.92,3.04
ALLEGHANY,2.73,2.61,2.74,2.76,2.84,2.88,2.88,2.84,2.77,2.83,3.00
ANSON,2.43,2.56,2.66,2.71,2.65,2.65,2.62,2.72,2.80,2.84,3.15
ASHE,2.49,2.66,2.82,2.78,2.81,2.87,2.82,2.78,2.86,2.92,3.00
AVERY,3.02,2.62,2.75,2.78,2.86,2.93,2.95,2.93,3.01,3.09,3.89
BEAUFORT,2.51,2.73,2.83,2.83,2.96,2.99,2.96,2.94,2.99,3.10,3.17
BERTIE,2.48,2.56,2.64,2.60,2.73,2.70,2.76,2.81,2.89,2.96,2.94
BLADEN,2.53,2.79,2.89,2.78,2.87,2.90,2.97,2.98,3.03,3.08,3.21
BRUNSWICK,2.61,2.91,3.08,3.10,3.23,3.26,3.27,3.35,3.26,3.38,3.58
BUNCOMBE,2.49,2.69,2.85,2.72,2.72,2.77,2.95,2.94,3.07,3.24,3.55
BURKE,2.37,2.42,2.50,2.44,2.56,2.63,2.62,2.62,2.72,2.79,2.99
CABARRUS,2.41,2.52,2.63,2.72,2.80,2.87,2.91,2.91,3.00,3.13,3.32
CALDWELL,2.33,2.41,2.50,2.53,2.60,2.68,2.64,2.60,2.69,2.76,2.92
CAMDEN,2.53,2.83,2.90,2.94,3.06,3.09,3.20,3.05,3.12,3.23,3.06
CARTERET,2.81,3.05,3.23,3.22,3.36,3.40,3.39,3.36,3.49,3.59,3.76
CASWELL,2.44,2.64,2.47,2.46,2.57,2.70,2.59,2.80,2.81,2.88,3.08
CATAWBA,2.39,2.55,2.66,2.68,2.76,2.83,2.86,2.85,2.94,3.00,3.16
CHATHAM,2.76,2.91,3.00,3.10,3.24,3.29,3.26,3.35,3.44,3.51,3.60
CHEROKEE,2.46,2.65,2.84,2.90,2.98,3.01,3.05,2.96,2.99,3.01,3.05
CHOWAN,2.69,2.67,2.73,2.75,2.86,2.88,2.93,2.93,2.97,2.92,3.06
CLAY,2.79,2.74,2.94,2.94,3.00,3.02,3.01,2.97,3.03,3.02,3.05
CLEVELAND,2.32,2.41,2.51,2.48,2.54,2.61,2.61,2.59,2.66,2.75,2.93
COLUMBUS,2.46,2.58,2.70,2.70,2.74,2.72,2.69,2.72,2.81,2.81,2.94
CRAVEN,2.56,2.79,2.93,2.96,3.11,3.15,3.11,3.13,3.22,3.13,3.36
CUMBERLAND,2.37,2.52,2.66,2.73,2.81,2.86,2.88,2.91,2.95,3.00,3.17
CURRITUCK,2.93,3.37,3.38,3.21,3.35,3.38,3.44,3.56,3.59,3.67,3.88
DARE,3.06,3.35,3.49,3.48,3.59,3.58,3.68,3.69,3.80,3.88,3.99
DAVIDSON,2.34,2.41,2.44,2.51,2.57,2.66,2.66,2.64,2.71,2.77,2.93
DAVIE,2.50,2.70,2.82,2.81,2.95,3.01,2.99,3.02,3.07,3.14,3.21
DUPLIN,2.47,2.60,2.72,2.75,2.79,2.80,2.77,2.76,2.86,2.86,2.98
DURHAM,2.55,2.70,2.83,2.84,2.95,3.02,3.15,3.19,3.28,3.40,3.56
EDGECOMBE,2.42,2.53,2.64,2.67,2.70,2.66,2.71,2.75,2.85,2.91,3.01
FORSYTH,2.42,2.60,2.71,2.75,2.83,2.90,2.94,2.97,3.04,3.13,3.29
FRANKLIN,2.48,2.49,2.64,2.64,2.76,2.81,2.87,2.90,3.00,3.09,3.18
GASTON,2.35,2.47,2.55,2.60,2.68,2.72,2.74,2.76,2.85,2.93,3.08
GATES,2.60,2.74,2.79,2.85,2.95,2.97,3.02,2.94,2.99,3.13,2.94
GRAHAM,2.56,2.73,2.91,2.92,3.00,2.98,3.06,3.01,3.09,3.17,3.05
GRANVILLE,2.48,2.53,2.66,2.66,2.81,2.83,2.89,2.91,2.96,2.98,3.17
GREENE,2.56,2.70,2.56,2.56,2.67,2.74,2.75,2.93,3.01,3.04,3.20
GUILFORD,2.48,2.64,2.74,2.80,2.87,2.91,2.97,3.01,3.12,3.15,3.35
HALIFAX,2.43,2.52,2.62,2.63,2.74,2.76,2.77,2.77,2.83,2.88,3.00
HARNETT,2.52,2.63,2.80,2.82,2.98,3.02,3.06,3.07,3.14,3.16,3.24
HAYWOOD,2.57,2.75,2.95,2.93,3.02,3.06,3.17,2.98,3.09,3.34,3.47
HENDERSON,2.46,2.66,2.79,2.75,2.85,2.92,2.97,2.87,2.95,3.14,3.29
HERTFORD,2.49,2.61,2.58,2.60,2.76,2.75,2.76,2.75,2.77,2.82,2.94
HOKE,2.41,2.61,2.77,2.83,2.83,2.84,2.81,2.84,2.93,2.95,3.06
HYDE,2.73,2.91,3.03,3.02,3.14,3.17,3.17,3.18,3.26,3.25,3.99
IREDELL,2.50,2.57,2.70,2.80,2.88,2.96,2.99,3.02,3.11,3.16,3.35
JACKSON,2.62,2.82,3.02,2.88,2.97,3.03,3.14,2.96,3.07,3.15,3.19
JOHNSTON,2.56,2.68,2.86,2.89,3.02,3.12,3.11,3.16,3.20,3.29,3.40
JONES,2.63,2.71,2.82,2.85,2.97,3.02,3.01,2.94,3.03,3.06,3.36
LEE,2.53,2.67,2.84,2.87,3.00,2.99,3.02,2.71,2.81,2.87,3.03
LENOIR,2.28,2.31,2.37,2.42,2.49,2.58,2.55,2.51,2.62,2.71,2.97
LINCOLN,2.33,2.41,2.51,2.59,2.64,2.70,2.71,2.70,2.84,2.95,3.23
MCDOWELL,2.50,2.70,2.77,2.85,2.89,2.97,3.01,2.89,2.91,2.96,3.01
MACON,2.59,2.76,2.96,3.00,3.04,3.02,3.09,2.94,2.99,2.99,3.10
MADISON,2.56,2.68,2.86,2.93,2.93,2.94,3.04,3.01,3.16,3.29,3.35
MARTIN,2.42,2.59,2.68,2.72,2.81,2.81,2.75,2.73,2.75,2.82,2.91
MECKLENBURG,2.59,2.71,2.84,2.94,3.02,3.12,3.22,3.27,3.36,3.46,3.73
MITCHELL,2.41,2.69,2.85,2.91,2.96,3.03,3.13,3.08,3.14,3.19,3.01
MONTGOMERY,2.42,2.53,2.64,2.67,2.70,2.70,2.66,2.63,2.66,2.74,2.86
MOORE,2.78,3.01,3.24,3.29,3.14,3.20,3.25,3.30,3.43,3.57,3.77
NASH,2.32,2.42,2.51,2.54,2.59,2.66,2.67,2.66,2.70,2.83,2.98
NEW HANOVER,2.57,2.78,2.92,2.99,3.08,3.15,3.27,3.19,3.30,3.39,3.63
NORTHAMPTON,2.84,2.95,2.91,2.93,2.95,3.07,3.00,3.10,3.21,2.92,3.00
ONSLOW,2.40,2.65,2.75,2.79,2.92,2.97,3.01,2.88,2.95,2.97,3.20
ORANGE,2.99,3.16,3.36,3.45,3.62,3.65,3.95,3.97,4.02,4.07,4.07
PAMLICO,2.73,2.86,3.01,3.02,3.16,3.19,3.16,3.15,3.25,3.25,3.36
PASQUOTANK,2.51,2.66,2.75,2.80,2.92,2.95,2.97,2.93,2.95,2.84,3.06
PENDER,2.72,3.04,3.15,3.18,3.29,3.26,3.33,3.45,3.45,3.56,3.74
PERQUIMANS,2.62,2.68,2.73,2.77,2.88,2.90,2.94,2.93,2.96,2.90,3.06
PERSON,2.46,2.52,2.65,2.66,2.78,2.81,2.81,2.83,2.90,2.95,3.05
PITT,2.49,2.69,2.84,2.80,2.86,2.94,2.96,2.82,2.93,3.01,3.18
POLK,2.69,2.79,2.91,2.95,3.04,3.09,3.23,3.26,3.37,3.51,3.49
RANDOLPH,2.36,2.43,2.54,2.60,2.70,2.74,2.73,2.74,2.82,2.89,3.04
RICHMOND,2.27,2.25,2.31,2.39,2.45,2.52,2.52,2.46,2.62,2.62,2.89
ROBESON,2.28,2.32,2.40,2.41,2.45,2.48,2.51,2.51,2.69,2.64,2.83
ROCKINGHAM,2.42,2.60,2.70,2.75,2.86,2.84,2.83,2.82,2.87,2.92,3.01
ROWAN,2.48,2.40,2.45,2.52,2.60,2.68,2.69,2.62,2.75,2.91,3.14
RUTHERFORD,2.31,2.35,2.45,2.43,2.50,2.60,2.63,2.55,2.66,2.74,2.96
SAMPSON,2.41,2.45,2.58,2.60,2.66,2.66,2.68,2.71,2.80,2.83,2.94
SCOTLAND,2.47,2.63,2.74,2.79,2.80,2.78,2.71,2.74,2.84,2.84,3.01
STANLY,2.36,2.41,2.50,2.57,2.64,2.71,2.71,2.74,2.81,2.90,3.09
STOKES,2.57,2.72,2.86,2.94,3.04,3.04,3.12,3.02,3.05,3.10,3.19
SURRY,2.47,2.55,2.69,2.74,2.82,2.84,2.84,2.86,2.76,2.83,3.02
SWAIN,2.75,2.72,2.86,2.83,2.88,2.94,3.02,3.02,3.13,3.17,3.19
TRANSYLVANIA,2.71,2.94,3.16,3.02,3.14,3.15,3.18,3.25,3.43,3.40,3.51
TYRRELL,2.55,3.02,3.11,3.07,3.18,3.19,3.26,3.29,3.36,3.31,3.06
UNION,2.60,2.72,2.86,2.85,2.94,3.02,3.05,3.08,3.19,3.30,3.46
VANCE,2.44,2.46,2.59,2.60,2.72,2.75,2.78,2.74,2.76,2.65,2.87
WAKE,2.59,2.76,2.89,2.97,3.07,3.13,3.23,3.26,3.34,3.40,3.64
WARREN,2.61,2.58,2.67,2.64,2.79,2.78,2.91,2.96,3.13,2.87,2.87
WASHINGTON,2.59,2.68,2.78,2.77,2.85,2.90,2.92,2.84,2.92,2.97,2.91
WATAUGA,3.03,3.10,3.27,3.38,3.49,3.54,3.58,3.64,3.71,3.79,3.89
WAYNE,2.31,2.43,2.57,2.63,2.67,2.70,2.70,2.73,2.79,2.85,2.95
WILKES,2.51,2.68,2.79,2.82,2.93,2.95,2.92,2.91,2.71,2.80,3.02
WILSON,2.40,2.41,2.54,2.60,2.66,2.70,2.67,2.59,2.66,2.77,3.04
YADKIN,2.56,2.72,2.78,2.78,2.90,2.88,2.91,3.05,3.14,3.22,3.30
YANCEY,2.57,2.70,2.86,2.78,2.79,2.83,2.99,2.97,3.08,3.23,3.35
