County,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
ALAMANCE,18,17,17,17,16,15,15,14,14,14,13
ALEXANDER,18,16,16,15,14,14,13,12,14,14,14
ALLEGHANY,19,17,16,15,14,13,13,14,18,19,18
ANSON,25,23,23,23,22,23,22,21,17,15,15
ASHE,17,16,16,17,15,14,13,13,14,15,14
AVERY,17,17,17,16,14,13,13,12,15,16,14
BEAUFORT,19,19,19,19,18,17,16,16,16,16,14
BERTIE,26,25,24,24,24,24,23,22,18,16,17
BLADEN,23,22,22,22,22,21,21,19,19,17,16
BRUNSWICK,17,16,16,16,15,15,14,13,14,14,13
BUNCOMBE,14,15,16,15,14,14,13,12,12,14,14
BURKE,19,17,17,17,15,15,14,14,16,16,16
CABARRUS,16,15,15,15,14,13,12,12,11,11,10
CALDWELL,19,17,17,17,16,15,14,13,15,16,15
CAMDEN,14,12,12,13,12,12,12,11,12,12,10
CARTERET,14,14,15,15,14,14,13,12,14,14,13
CASWELL,22,20,19,20,19,19,18,18,16,15,14
CATAWBA,17,17,16,16,14,14,13,12,13,14,13
CHATHAM,13,13,13,12,12,12,11,11,12,12,11
CHEROKEE,18,16,16,16,14,14,14,13,15,17,16
CHOWAN,20,22,21,22,21,21,20,19,16,15,15
CLAY,18,15,16,16,15,15,13,13,15,15,16
CLEVELAND,21,20,19,19,18,18,17,17,16,16,16
COLUMBUS,22,22,21,21,21,20,19,19,18,17,17
CRAVEN,18,19,18,18,17,17,15,15,15,15,14
CUMBERLAND,19,20,21,20,20,20,19,19,17,16,16
CURRITUCK,12,11,12,13,12,12,11,10,11,12,10
DARE,14,15,15,15,14,13,11,11,12,12,12
DAVIDSON,17,16,16,16,14,14,13,13,14,15,14
DAVIE,15,13,13,14,13,12,12,11,13,14,13
DUPLIN,19,19,19,18,17,16,16,16,17,16,14
DURHAM,18,20,19,18,18,18,17,17,14,12,11
EDGECOMBE,27,27,26,26,26,26,25,24,20,17,17
FORSYTH,18,18,18,17,17,17,16,16,14,13,13
FRANKLIN,18,17,17,16,16,16,15,15,14,13,12
GASTON,18,18,18,18,16,16,15,15,14,14,14
GATES,19,17,17,18,17,17,15,15,14,14,13
GRAHAM,20,19,18,19,18,18,15,14,17,18,17
GRANVILLE,18,17,17,17,16,16,16,15,13,12,11
GREENE,20,20,19,19,18,18,18,18,19,16,15
GUILFORD,19,20,19,19,19,19,18,17,14,13,13
HALIFAX,25,26,25,25,25,25,25,24,20,18,18
HARNETT,18,19,18,17,17,16,15,15,15,14,14
HAYWOOD,14,14,14,15,14,14,13,13,14,15,14
HENDERSON,13,13,13,13,12,12,11,11,12,13,12
HERTFORD,24,25,24,24,25,25,24,22,19,16,15
HOKE,19,19,19,19,19,19,19,18,17,16,15
HYDE,19,20,20,20,20,19,20,18,18,19,17
IREDELL,17,16,15,15,14,13,13,12,12,12,12
JACKSON,16,16,16,17,16,16,15,15,14,16,15
JOHNSTON,16,16,15,15,14,13,12,12,13,12,12
JONES,20,19,19,19,19,19,18,19,20,18,17
LEE,19,19,18,17,16,15,14,14,14,14,15
LENOIR,22,23,22,22,22,21,20,19,19,18,17
LINCOLN,17,15,15,15,13,13,12,12,13,13,13
MCDOWELL,18,18,17,17,15,15,14,14,16,17,15
MACON,16,16,16,16,14,14,13,13,15,16,15
MADISON,15,15,15,15,14,14,13,13,15,16,15
MARTIN,23,23,22,22,21,21,20,19,17,16,16
MECKLENBURG,18,19,18,18,17,16,16,15,12,11,11
MITCHELL,17,16,17,17,15,14,13,12,15,16,15
MONTGOMERY,21,20,19,18,17,16,15,15,15,14,14
MOORE,16,15,15,15,14,14,13,13,13,13,12
NASH,20,22,21,21,20,20,19,18,15,14,14
NEW HANOVER,16,18,17,18,17,16,16,15,14,14,14
NORTHAMPTON,25,24,24,23,24,25,25,23,19,16,14
ONSLOW,15,17,17,17,16,16,15,15,15,15,14
ORANGE,14,15,16,15,15,14,13,13,11,12,10
PAMLICO,16,15,16,16,15,15,14,14,15,14,14
PASQUOTANK,20,21,20,21,21,20,19,19,15,14,12
PENDER,18,17,17,17,16,15,15,13,14,13,13
PERQUIMANS,19,18,18,19,18,18,16,17,15,15,12
PERSON,19,19,18,18,18,18,17,16,16,14,14
PITT,21,23,22,21,21,22,21,20,16,15,14
POLK,14,13,14,14,13,13,12,11,13,14,13
RANDOLPH,16,16,15,15,14,13,12,12,14,15,14
RICHMOND,23,23,22,22,21,21,21,20,18,18,17
ROBESON,23,24,23,22,22,22,21,20,19,19,19
ROCKINGHAM,19,18,18,18,17,17,16,16,15,15,16
ROWAN,19,18,17,17,16,16,15,14,14,14,15
RUTHERFORD,22,20,19,19,17,17,16,16,16,17,17
SAMPSON,18,18,18,17,17,17,16,16,17,15,14
SCOTLAND,28,28,26,26,26,26,25,23,21,20,20
STANLY,17,16,16,16,15,15,14,14,13,14,13
STOKES,15,14,15,15,14,14,13,12,13,14,14
SURRY,17,16,16,16,14,14,12,12,15,16,16
SWAIN,19,18,18,19,18,17,15,14,16,17,16
TRANSYLVANIA,15,14,15,15,13,13,12,13,14,14,14
TYRRELL,21,19,19,18,20,19,20,20,20,18,16
UNION,14,13,12,12,11,11,10,10,10,9,9
VANCE,26,27,25,24,24,24,23,22,19,17,17
WAKE,14,15,15,14,14,14,13,12,10,10,10
WARREN,26,25,24,23,23,23,23,21,18,15,16
WASHINGTON,24,25,23,22,24,23,23,22,20,17,19
WATAUGA,16,18,19,20,18,18,18,17,14,15,14
WAYNE,19,20,20,19,19,19,18,18,17,15,14
WILKES,19,18,17,17,16,15,14,14,16,16,15
WILSON,23,24,23,22,22,22,21,20,18,16,16
YADKIN,15,14,15,14,13,13,12,12,13,15,14
YANCEY,17,16,16,16,15,15,14,14,15,16,15
