Abbrev,Geographic Area Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021
ALAM,"Alamance County, North Carolina",18.90,18.60,20.30,20.70,18.30,20.10,16.70,14.40,13.20,15.30,11.20
BRUN,"Brunswick County, North Carolina",16.90,21.10,15.20,16.00,16.40,14.30,14.30,11.50,9.30,9.40,8.70
BUNC,"Buncombe County, North Carolina",16.80,18.30,17.60,14.80,12.60,15.00,13.10,10.50,10.80,12.20,10.90
BURK,"Burke County, North Carolina",18.70,21.60,19.40,21.70,21.70,16.60,19.10,17.90,13.10,21.00,13.80
CABA,"Cabarrus County, North Carolina",13.00,13.50,13.50,11.90,12.70,10.90,11.80,12.80,9.00,7.30,9.90
CALD,"Caldwell County, North Carolina",18.30,22.40,21.50,17.70,20.00,15.40,17.60,16.80,16.70,10.00,14.70
CART,"Carteret County, North Carolina",12.50,19.20,15.30,15.00,14.50,13.50,10.90,14.00,8.00,8.90,11.40
CATA,"Catawba County, North Carolina",13.40,13.50,19.70,16.40,16.40,15.30,12.00,12.10,13.50,14.90,14.10
CHAT,"Chatham County, North Carolina",null,null,13.00,18.30,16.70,12.20,13.60,11.40,9.00,8.40,15.90
CLEV,"Cleveland County, North Carolina",20.70,19.10,23.50,18.30,21.20,19.50,21.80,18.90,20.50,21.30,18.30
CRAV,"Craven County, North Carolina",17.90,14.60,16.00,15.90,16.10,13.40,15.20,17.70,15.40,13.80,10.90
CUMB,"Cumberland County, North Carolina",18.00,18.70,16.40,17.50,17.30,18.90,19.00,18.60,16.90,18.10,15.40
DAVI,"Davidson County, North Carolina",17.50,13.40,16.30,20.70,17.20,13.20,15.80,16.00,16.10,17.50,13.70
DURH,"Durham County, North Carolina",18.80,20.40,19.80,16.60,16.40,17.30,16.30,16.10,13.40,14.10,13.30
FORS,"Forsyth County, North Carolina",16.40,18.90,21.50,20.80,20.10,18.30,18.00,16.70,16.90,15.50,14.20
FRAN,"Franklin County, North Carolina",null,null,null,null,null,null,null,17.50,11.00,8.80,12.40
GAST,"Gaston County, North Carolina",20.50,16.00,17.40,19.20,16.30,17.30,15.60,15.00,14.20,11.00,15.30
GUIL,"Guilford County, North Carolina",17.70,18.70,17.80,19.00,17.10,15.40,18.60,14.20,15.60,16.40,13.20
HARN,"Harnett County, North Carolina",15.60,17.90,18.70,18.10,21.10,17.80,16.00,16.90,14.20,16.90,12.80
HEND,"Henderson County, North Carolina",16.60,11.70,13.60,15.60,11.80,12.80,11.60,9.30,8.20,10.50,12.50
IRED,"Iredell County, North Carolina",13.80,13.90,15.00,12.50,13.10,15.50,10.50,12.00,9.30,7.40,9.30
JOHN,"Johnston County, North Carolina",16.60,15.20,17.30,16.80,15.30,12.00,13.00,16.70,11.40,13.60,12.60
LINC,"Lincoln County, North Carolina",15.80,14.50,15.30,15.70,18.80,14.70,13.40,14.30,10.10,7.40,6.30
MECK,"Mecklenburg County, North Carolina",15.30,17.10,15.90,15.20,15.00,14.20,12.10,11.10,11.70,10.20,9.90
MOOR,"Moore County, North Carolina",18.50,16.00,17.90,13.90,17.30,13.20,10.20,9.30,9.60,11.80,7.30
NASH,"Nash County, North Carolina",14.10,20.40,21.70,14.50,17.90,18.40,15.30,14.80,11.20,16.90,12.40
NEWH,"New Hanover County, North Carolina",18.10,17.50,15.20,19.80,18.80,17.60,18.60,16.10,15.60,13.00,11.20
ONSL,"Onslow County, North Carolina",14.60,15.30,12.20,17.00,13.20,15.40,13.10,12.90,15.60,11.10,13.80
ORAN,"Orange County, North Carolina",20.10,18.30,17.40,16.00,14.10,14.70,12.80,14.10,12.80,14.10,12.00
PITT,"Pitt County, North Carolina",21.50,25.40,24.10,25.60,23.50,26.80,21.70,22.00,24.70,19.60,22.50
RAND,"Randolph County, North Carolina",19.30,15.80,18.40,21.30,16.70,16.90,14.10,17.50,14.00,14.80,13.60
ROBE,"Robeson County, North Carolina",31.10,30.40,34.50,29.70,32.50,30.30,27.30,28.70,23.70,31.90,28.00
ROCK,"Rockingham County, North Carolina",18.60,15.10,19.30,22.40,19.60,18.60,18.60,15.80,19.70,20.40,19.40
ROWA,"Rowan County, North Carolina",21.30,19.20,19.40,18.70,17.80,17.40,16.40,15.00,17.80,13.70,19.10
RUTH,"Rutherford County, North Carolina",26.40,19.40,13.80,26.10,21.40,17.00,17.20,12.90,20.30,20.30,null
SURR,"Surry County, North Carolina",19.30,23.30,17.70,21.80,18.60,18.20,16.60,15.50,16.00,16.60,16.50
UNIO,"Union County, North Carolina",7.80,10.00,11.80,9.70,10.80,9.70,9.00,9.40,5.70,7.00,7.40
WAKE,"Wake County, North Carolina",12.00,11.60,11.60,10.70,11.60,11.20,9.10,8.90,8.40,8.00,9.50
WAYN,"Wayne County, North Carolina",19.70,23.40,24.90,21.40,25.50,18.00,22.00,21.20,22.50,19.40,19.90
WILK,"Wilkes County, North Carolina",20.60,28.30,19.70,26.10,27.40,18.80,15.40,19.80,20.70,14.80,19.50
WILS,"Wilson County, North Carolina",23.70,26.00,24.40,19.10,24.60,19.00,22.70,16.50,22.10,23.70,19.10
NC,North Carolina,17.50,17.90,18.00,17.90,17.20,16.40,15.40,14.70,14.00,13.60,13.40
