Abbrev,Geographic Area Name,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021
ALAM,"Alamance County, North Carolina",14.90,8.40,9.00,6.90,6.90,8.20,4.60,4.90,5.40,3.50,5.70
BRUN,"Brunswick County, North Carolina",13.60,18.20,13.00,13.10,7.40,5.20,8.40,5.80,5.40,5.00,5.10
BUNC,"Buncombe County, North Carolina",10.90,8.90,8.60,6.10,5.60,6.30,3.50,2.90,2.60,1.90,6.10
BURK,"Burke County, North Carolina",15.10,13.00,12.60,12.30,13.60,7.30,9.20,5.60,7.30,3.50,5.60
CABA,"Cabarrus County, North Carolina",14.40,12.30,10.70,9.10,10.00,5.40,6.40,5.00,5.40,3.40,5.60
CALD,"Caldwell County, North Carolina",15.80,14.40,15.10,16.70,8.40,6.70,8.10,4.30,7.40,5.10,8.30
CART,"Carteret County, North Carolina",11.40,13.70,9.50,12.40,8.50,8.30,8.70,4.10,4.50,3.80,5.80
CATA,"Catawba County, North Carolina",11.60,9.80,8.30,10.40,6.30,6.40,7.00,6.50,7.50,4.20,6.20
CHAT,"Chatham County, North Carolina",null,null,13.10,7.10,6.60,5.80,6.20,4.40,3.30,1.10,3.00
CLEV,"Cleveland County, North Carolina",14.50,13.70,15.50,12.60,12.40,11.40,8.10,5.60,5.60,8.20,6.40
CRAV,"Craven County, North Carolina",15.80,15.00,12.00,10.20,11.40,7.00,9.00,7.10,7.50,6.10,4.90
CUMB,"Cumberland County, North Carolina",12.70,15.00,14.30,12.50,9.70,10.50,9.50,7.50,7.50,6.90,9.20
DAVI,"Davidson County, North Carolina",14.30,12.60,14.70,12.30,9.10,8.00,6.70,6.90,5.10,3.10,5.00
DURH,"Durham County, North Carolina",11.60,7.20,7.80,7.20,6.10,5.00,5.20,4.80,3.00,3.40,5.50
FORS,"Forsyth County, North Carolina",9.60,11.30,11.70,7.90,9.40,7.30,5.00,4.60,5.30,5.40,5.90
FRAN,"Franklin County, North Carolina",null,null,null,null,null,null,null,6.10,3.20,7.90,6.10
GAST,"Gaston County, North Carolina",18.10,14.20,12.50,10.40,9.20,7.90,7.00,6.00,4.20,5.90,5.80
GUIL,"Guilford County, North Carolina",12.80,11.70,10.40,8.60,7.10,5.40,6.10,5.90,5.20,4.80,5.20
HARN,"Harnett County, North Carolina",12.50,13.20,10.40,11.50,12.80,7.30,6.50,7.40,6.70,7.90,5.30
HEND,"Henderson County, North Carolina",13.40,9.60,9.50,6.70,3.70,2.10,2.50,3.20,3.30,2.00,4.50
IRED,"Iredell County, North Carolina",14.50,12.90,11.80,9.60,8.60,7.20,5.10,4.70,4.20,3.60,6.00
JOHN,"Johnston County, North Carolina",11.00,12.20,9.60,10.40,7.00,5.60,4.70,4.40,4.10,4.10,3.40
LINC,"Lincoln County, North Carolina",14.80,12.30,10.60,12.10,9.80,7.70,7.20,4.00,4.40,4.60,4.60
MECK,"Mecklenburg County, North Carolina",12.70,10.70,9.70,9.10,8.40,6.90,5.10,4.10,4.00,3.60,4.70
MOOR,"Moore County, North Carolina",12.60,9.20,11.10,7.50,5.30,7.30,5.40,4.80,3.80,2.70,6.10
NASH,"Nash County, North Carolina",11.10,17.20,14.50,11.40,10.90,4.60,6.50,4.80,5.50,10.60,5.70
NEWH,"New Hanover County, North Carolina",11.90,12.20,8.40,8.80,7.60,6.10,5.20,4.40,3.50,3.10,5.30
ONSL,"Onslow County, North Carolina",13.00,9.50,16.20,13.40,10.10,9.70,10.10,8.20,7.80,6.10,6.50
ORAN,"Orange County, North Carolina",10.10,6.00,6.50,7.20,6.90,4.10,4.40,3.10,4.00,2.70,5.30
PITT,"Pitt County, North Carolina",11.60,11.60,13.00,11.60,11.60,10.70,8.00,7.50,7.20,5.90,9.30
RAND,"Randolph County, North Carolina",10.30,12.60,10.30,10.00,6.00,5.30,4.70,5.60,4.60,4.60,4.30
ROBE,"Robeson County, North Carolina",13.00,13.70,11.60,12.60,12.20,8.70,6.60,6.70,4.70,6.00,5.30
ROCK,"Rockingham County, North Carolina",14.10,13.70,14.90,10.80,7.50,6.60,8.50,4.90,6.10,6.60,7.90
ROWA,"Rowan County, North Carolina",12.70,12.50,13.40,14.40,9.70,8.10,7.10,6.70,5.90,5.20,7.10
RUTH,"Rutherford County, North Carolina",18.80,15.70,13.90,10.50,9.30,6.60,8.70,6.70,9.50,4.50,null
SURR,"Surry County, North Carolina",11.80,9.60,8.00,6.60,6.20,4.20,6.20,3.90,3.10,4.60,5.00
UNIO,"Union County, North Carolina",10.60,11.50,9.20,7.60,7.60,5.10,5.90,3.90,4.00,3.40,5.10
WAKE,"Wake County, North Carolina",9.60,7.90,6.90,6.80,5.30,5.00,4.50,3.50,3.30,3.80,5.30
WAYN,"Wayne County, North Carolina",13.70,12.40,15.50,13.20,11.50,9.10,9.70,6.10,5.00,4.30,5.00
WILK,"Wilkes County, North Carolina",18.70,15.50,13.80,13.70,10.20,6.00,6.70,3.50,6.90,4.80,9.80
WILS,"Wilson County, North Carolina",15.70,15.30,10.80,7.60,8.30,6.60,8.50,10.00,6.60,8.80,5.00
NC,North Carolina,12.60,11.70,10.70,9.60,8.30,6.80,6.20,5.20,4.90,4.50,5.70
