Store_Name,Longitude,Latitude,County
Food Lion 2213,-80.865814,35.594765,IREDELL
The Corner Grocery,-81.099174,35.267761,GASTON
Fish Wing,-80.882446,35.216393,MECKLENBURG
Superior Groceries,-79.808388,35.73597,RANDOLPH
Morven Truck Stop,-80.011215,34.883118,ANSON
Greenhill Store,-81.991463,35.347675,RUTHERFORD
Northside Food Market,-77.942421,34.241577,NEW
Triad Meats,-79.804459,36.012768,GUILFORD
Ledfords Farm Fresh Produce,-82.400429,35.600956,BUNCOMBE
Supermercado Esmeraldo Ii,-80.610672,36.489567,SURRY
Dollar General 6661,-81.146553,36.154026,WILKES
Dollar General 6778,-77.372269,35.809254,PITT
Food Lion 2110,-76.241302,35.918999,TYRRELL
CVS Pharmacy 5559,-79.740044,36.49189,ROCKINGHAM
CVS 5595,-80.228622,36.102062,FORSYTH
Plaza Seafood & Grocery,-80.804886,35.235138,MECKLENBURG
Dollar General 6530,-78.21492,34.314564,COLUMBUS
Dollar General 6812,-81.644905,35.416405,CLEVELAND
Dollar General 6396,-79.471542,35.16037,MOORE
Dollar General 6285,-78.251213,35.958523,FRANKLIN
Dollar General 6684,-81.189735,35.812534,CATAWBA
Mike Grocery,-80.794861,35.242851,MECKLENBURG
Super Saver Food Store,-80.826736,35.239468,MECKLENBURG
Food Lion 2608,-80.633873,35.106441,UNION
Parkway Express,-80.278725,36.193199,FORSYTH
Full Circle Crab Co,-76.225685,35.918564,TYRRELL
Brentwood Grocery 562019672,-79.977905,35.959782,GUILFORD
Om Grocery,-79.800957,36.043514,GUILFORD
Farm Fresh 469,-76.251595,36.290314,PASQUOTANK
Xpress Mart,-80.75769,35.20829,MECKLENBURG
International Food Market,-78.740807,35.51334,HARNETT
Dollar General 0635,-78.475906,35.655384,JOHNSTON
Dollar General 1832,-77.413223,34.750851,ONSLOW
Dollar General 3076,-77.077477,35.56728,BEAUFORT
Dollar General 4777,-77.116455,36.44191,HERTFORD
Dollar General 4818,-78.355743,35.249187,SAMPSON
Dollar General 4849,-76.637459,34.732288,CARTERET
Dollar General 8519,-77.899841,34.051643,NEW
Patel Brothers,-78.763245,35.791977,WAKE
Randy'S Produce,-81.234451,36.186909,WILKES
Don Becerra,-78.889969,36.02,DURHAM
Dollar General 2829,-80.60936,35.499714,CABARRUS
Dollar General 6017,-78.716568,34.306747,COLUMBUS
Dollar General 6727,-80.181953,36.372051,STOKES
Dollar General 8936,-78.096954,34.997913,DUPLIN
D & N Mini Mart,-81.497887,35.38966,CLEVELAND
Randy'S Produce,-79.886848,36.073448,GUILFORD
Island Grocery,-80.745895,35.203457,MECKLENBURG
Mountain View Grocery,-81.618881,35.511017,CLEVELAND
Aldi 71,-82.604935,35.583515,BUNCOMBE
Central Food Mart,-80.764687,35.212639,MECKLENBURG
Mull Brothers Grocery,-81.673416,35.724045,BURKE
Harris Teeter 191,-77.790939,34.298859,NEW
Bargain Max,-80.789047,35.248234,MECKLENBURG
Oak Grove Market,-80.760765,36.481674,SURRY
Walmart Supercenter 5481,-80.945076,35.327766,MECKLENBURG
Carniceria Jalisco,-80.740349,35.203159,MECKLENBURG
Earth Fare 120,-80.841141,35.06974,MECKLENBURG
Sagla Grocery,-80.662361,35.243187,MECKLENBURG
Kangaroo Express 250,-81.870422,36.160553,AVERY
Triangle Convenient Mart,-77.911255,35.741844,WILSON
Dollar General 0869,-77.157326,34.705124,ONSLOW
Dollar General 6719,-77.21286,34.683369,ONSLOW
Dollar General 6656,-81.092308,35.900162,ALEXANDER
Rocky Mount Save A Lot 27,-77.827194,35.952747,NASH
Food Lion 2618,-78.617973,34.632416,BLADEN
Sheetz 365,-78.760323,35.596386,WAKE
Sheetz 356,-79.889359,36.057274,GUILFORD
Morehead Mini Mart,-78.921555,35.99194,DURHAM
Dollar General 6859,-77.403481,35.528099,PITT
Dollar General 6971,-77.833153,34.259666,NEW
Lynns Stop And Shop,-81.15332,35.436832,LINCOLN
Walkers Grocery & Service Station,-79.326591,36.408779,CASWELL
Tommy'S Mini Mart Iii,-77.936684,34.217216,NEW
Q A Express Mart,-80.738625,35.20433,MECKLENBURG
Den'S Mart,-80.808006,35.23233,MECKLENBURG
Food Lion 2582,-81.166702,36.131927,WILKES
L & L Food Stores 2,-78.049713,36.076183,NASH
L & L Food Stores 4,-77.830658,35.869392,NASH
L & L Food Stores 5,-78.112846,35.944538,NASH
L & L Food Stores 7,-77.918076,35.841774,WILSON
L & L Food Stores 8,-77.838058,35.984356,NASH
L & L Food Stores 9,-77.949715,35.970058,NASH
L & L Food Stores 10,-77.549828,35.907276,EDGECOMBE
Dollar General 6206,-80.570587,35.001736,UNION
L & L Food Stores 11,-77.871437,35.965874,NASH
L & L Food Stores 12,-77.945946,35.899216,NASH
L & L Food Stores 13,-77.750885,36.051426,EDGECOMBE
L & L Food Stores 14,-77.973297,35.978817,NASH
Waco Stop N Shop,-81.431938,35.360451,CLEVELAND
Town & Country Iga,-76.860779,34.734386,CARTERET
Mac'S General Merchandise,-78.510551,35.311932,HARNETT
Sheetz 366,-79.908173,36.059643,GUILFORD
Circle A Food Store,-81.9608,35.35453,RUTHERFORD
Jay'S Food Mart,-79.403252,35.168896,MOORE
Robersonville Packing Retail,-77.263298,35.826279,MARTIN
Quick Trip 3,-82.591492,35.596138,BUNCOMBE
Peaches N Cream,-80.119148,34.978825,ANSON
La Bonita,-78.451683,35.643818,JOHNSTON
Sheetz 361,-78.558273,35.898827,WAKE
Rite Aid 11332,-79.399948,36.055416,ALAMANCE
Harolds Galaxy Supermarket,-83.2117,35.381584,JACKSON
Yadkin Valley General Store,-80.847031,36.245064,SURRY
Geb Food Marte,-80.78228,35.249046,MECKLENBURG
Byrum Food Mart,-80.895576,35.299576,MECKLENBURG
K.G.'S Quik Stop 103,-82.049042,35.738598,MCDOWELL
Main Street Mini Mart,-77.589775,35.424583,GREENE
Food Lion 690,-79.488083,34.761375,SCOTLAND
Sessoms' Packing Of Ahoskie,-76.988335,36.25573,HERTFORD
Aldi 16,-80.859703,35.304932,MECKLENBURG
Rite Aid 11504,-79.058243,35.031219,CUMBERLAND
Rite Aid 11527,-78.019745,34.217003,BRUNSWICK
Rite Aid 11502,-78.87738,35.057446,CUMBERLAND
Harris Teeter 058,-78.864418,35.737892,WAKE
La Victoria,-80.26104,36.142292,FORSYTH
Freds Store 1343,-82.861603,35.532307,HAYWOOD
Rite Aid 11542,-81.329849,35.769703,CATAWBA
Family Dollar Store 5203,-80.796875,35.190945,MECKLENBURG
