"foodpantry","address","address2","city","state","zip","phone","county","lon","lat"
"Asbury Temple United Methodist Church","201 Alston Avenue","","Durham","NC",27701,"(919) 688-4578","Durham",-78.8882998,35.9857243
"Bethlehem Temple Apostolic Faith Church of Durham Food Pantry","600 North Roxboro Street","","Durham","NC",27704,"(919) 683-1291","Durham",-78.8945061,35.9982896
"Bethlehem United Holy Church Food Pantry","1311 Milton Road","","Durham","NC",27712,"(919) 815-2999","Durham",-78.918512,36.104674
"Birchwood Learning Center Food Pantry","416 Walton Street","","Durham","NC",27703,"(919) 598-9885","Durham",-78.846948,35.981163
"CAARE, Inc.","214 Broadway Street","","Durham","NC",27701,"(919) 683-5300","Durham",-78.8987643,36.0012349
"Calvary Baptist Church Durham","1204 Lynn Road","","Durham","NC",27703,"(919) 596-2592","Durham",-78.850002,35.9700358
"Christian Assembly Emergency Food Pantry","5516 North Roxboro Road","Church Annex Building","Durham","NC",27712,"(919) 471-0220","Durham",-78.9101076,36.0914942
"Durham First Assembly of God Food Pantry","1034 Hamlin Road","","Durham","NC",27704,"(919) 471-1370","Durham",-78.870592,36.050007
"Durham Technical Community College","1637 Lawson Street","","Durham","NC",27703,"(919) 563-7200","Durham",-78.880688,35.975381
"Feed My Sheep of Durham Food Pantry","107 North Driver Street","","Durham","NC",27701,"(919) 683-8659","Durham",-78.8781112,35.9862546
"First Pentecostal Church Food Pantry","2008 West Carver Street","","Durham","NC",27704,"(919) 477-6555 x110","Durham",-78.9169327,36.0404645
"Fisher Memorial Church Food Pantry","420 East Piedmont Avenue","","Durham","NC",27701,"(919) 682-7416","Durham",-78.8997347,35.9840776
"Five Oaks Seventh Day Adventist","4124 Farrington Road","","Durham","NC",27713,"(919) 489-7777","Durham",-78.985324,35.94208
"Greater Emmanuel Temple Food Pantry","2722 East Main Street","","Durham","NC",27701,"(919) 957-1783","Durham",-78.8664923,35.9866067
"Greater Refuge Temple Food Pantry","1438 Maplewood Drive","","Durham","NC",27707,"(919) 608-7525","Durham",-78.8649949,36.0327399
"Henderson Towers Resident Food Pantry","807 South Duke Street #010","","Durham","NC",27701,"(919) 452-0094","Durham",-78.908175,35.990276
"Iglesia Presbiteriana Emanuel First Presbyterian Church Food Pantry","2504 North Roxboro Street","","Durham","NC",27704,"(919) 672-4333","Durham",-78.889504,36.021856
"Immanuel Temple SDA Community Food Pantry and Soup Kitchen","2104 South Alston Avenue","","Durham","NC",27707,"(919) 471-3841","Durham",-78.8873909,35.961595
"Jewish Family Service of Durham Chapel Hill Orange","1937 West Cornwallis Road","","Durham","NC",27705,"(919) 354-4922","Durham",-78.9555614,35.9793571
"Jonathans Outreach Network Food Pantry","302 South Driver Street","","Durham","NC",27703,"(919) 491-3661","Durham",-78.8777527,35.9828228
"Living Waters Christian Community Food Pantry","1104 Lynn Road","","Durham","NC",27703,"(919) 596-6909","Durham",-78.84905,35.971915
"Ministerios Guerreros de JesuCristo International Food Pantry","1800 North Roxboro Street","","Durham","NC",27704,"(919) 395-7539","Durham",-78.8909163,36.0129193
"Mission Society Food Pantry and Clothing Closet","410 Liberty Street","","Durham","NC",27701,"(919) 682-0538 x26","Durham",-78.895867,35.993452
"Monument of Faith Church of God of Prophecy Food Pantry","800 Grant Street","","Durham","NC",27701,"(919) 688-7838","Durham",-78.8941689,35.9819264
"More Love Inc. Food Pantry","4710 Old Page Road","","Durham","NC",27703,"(919) 599-4192","Durham",-78.847223,35.883627
"Mount Bethel United Methodist Church Food Pantry","1605 Bahama Road","","Bahama","NC",27503,"(919) 414-5407","Durham",-78.875445,36.167286
"New Opportunities 2nd Chance Food Pantry","2604 Carver Street","","Durham","NC",27705,"(919) 682-4771","Durham",-78.927468,36.03834
"Rise and Shine Food Pantry","4625 Denfield Street","","Durham","NC",27704,"(919) 471-9766","Durham",-78.896935,36.0597489
"Rougemont Food Pantry","8009 Bunny Road","","Rougemont","NC",27572,"(615) 972-6495","Durham",-78.9710235,36.2181556
"Russell Memorial CME Church Food Pantry","703 South Alston Avenue","","Durham","NC",27701,"(919) 682-2523","Durham",-78.8910421,35.9799417
"Salvation Army of Durham","909 Liberty Street","","Durham","NC",27701,"(919) 688-7306","Durham",-78.885392,35.993138
"Seed Time and Harvest Fellowship Food Pantry","804 Berwyn Avenue","","Durham","NC",27704,"(919) 220-2896","Durham",-78.880457,36.032964
"Southside Church of Christ Food Pantry","800 Elmira Avenue","","Durham","NC",27707,"(919) 688-3535","Durham",-78.9006098,35.9625699
"The Lord House Prophetic Ministry Food Pantry","2216 Page Road","","Durham","NC",27703,"(919) 698-7091","Durham",-78.8128284,35.9274957
"Two Fishes Five Loaves Food Pantry","316 Hebron Road","","Durham","NC",27704,"(919) 682-6466","Durham",-78.895654,36.0589197
"Victorious Community Development Corporation","2116 Page Road","","Durham","NC",27703,"(919) 957-7500","Durham",-78.8146152,35.9294025
"Victorious Life Empowerment Center Food Pantry","3329 Chapel Hill Boulevard","Suite 100","Durham","NC",27707,"(919) 886-8015","Durham",-78.9457399,35.9709908
"Vocational Training Placement and Food Pantry Services","3215 Guess Road Square","Suite 201","Durham","NC",27705,"(919) 471-5725","Durham",-78.9853813,36.025609
"Word Harvest International Food Pantry","1107 Holloway Street","","Durham","NC",27703,"(919) 923-1369","Durham",-78.8809259,35.9944731
"A Touch From Above Faith Center Food Pantry","654 Main Street","","Wilsons Mills","NC",27593,"(919) 938-0073 x2","Johnston",-78.353446,35.582741
"Benson Area Ministreal Association Food Pantry","1204 North Johnson Street","","Benson","NC",27504,"(919) 820-1591","Johnston",-78.5364533,35.3892565
"Building 323 Food Pantry","73 Wilder Road","","Middlesex","NC",27557,"(919) 269-9207","Johnston",-78.2566444,35.7537251
"Christ Community United Methodist Church Food Pantry","1082 Amelia Church Road","","Clayton","NC",27520,"(919) 815-3794","Johnston",-78.491484,35.646253
"Clayton Area Ministries Food Pantry","704 East Main Street","","Clayton","NC",27520,"(919) 553-5654","Johnston",-78.4519359,35.6451793
"Edgerton Memorial UMC Food Pantry","401 West Anderson Street","","Selma","NC",27576,"(919) 965-3761","Johnston",-78.286999,35.537344
"Faith Tabernacle Ministry Food Pantry","4820 Guy Road","","Clayton","NC",27520,"(919) 553-9755","Johnston",-78.519896,35.674165
"Flowing Waters World Outreach Food Pantry","901 Old Fairground Road","","Willow Spring","NC",27592,"(919) 915-4899","Johnston",-78.596762,35.542861
"Food Assistance, Johnston County Salvation Army","306 North Brightleaf Boulevard","","Smithfield","NC",27577,"(919) 934-9102","Johnston",-78.337436,35.5112189
"Harvest Word Ministry Food Pantry","320 Lot 36","","Micro","NC",27555,"(919) 284-9441","Johnston",-78.2044196,35.5614109
"Hope Station - Wilson County Interfaith Services","309 Goldsboro Street East","","Wilson","NC",27893,"(252) 291-7278","Johnston",-77.9069062,35.7276996
"Iglesia Pentecostal Jesucristo Food Pantry","1508 Bizzell Grove Church Road","","Selma","NC",27576,"(919) 538-0423","Johnston",-78.180018,35.5430599
"Kenly Area Ministries Food Pantry","408 South College Avenue","","Kenly","NC",27542,"(919) 230-7245","Johnston",-78.1274486,35.5896728
"Lighthouse Christian Fellowship Food Pantry","9856 Highway 210","","Four Oaks","NC",27524,"(919) 934-6512","Johnston",-78.5181682,35.5090541
"Milagros y Maravillas de Dios Food Pantry","711 West Noble","","Selma","NC",27576,"(919) 798-4393","Johnston",-78.292008,35.537344
"New Birth Holiness Church Food Pantry","409 Doctor Donnie Jones Jr. Boulevard","","Princeton","NC",27569,"(919) 502-9651","Johnston",-78.1615762,35.4688565
"New Christian Food Pantry","900-C Highway 301","","Wilson","NC",27893,"(252) 265-6165","Johnston",-77.891378,35.721019
